Mã CK,THG,THM,THN,THP,THS,THT,THU,THW,TID,TIE,TIG,TIP,TIS,TIX,TJC,TKA,TKU,TL4,TLD,TLG,TLH,TLI,TLP,TLT,TMB,TMC,TMG,TMP,TMS,TMT,TMW,TMX,TN1,TNA,TNB,TNC,TNG,TNH,TNI,TNP,TNS,TNT,TNV,TNW,TOP,TOS
- Giá trị hao mòn lũy kế 229,-6174057169,,-569354868,-5817735823,,-785564868843,,-6531512826,-12711067673,-318760472,-445790000,-35000000,-128745782614,-445000000,-55000000,,-461665598,,,-57699131382,-47031160092,-313400000,-107294185159,,-2993076866,-26208422454,-629245319,-7496833762,-12288739250,-1019525500,-167243000,-522000000,-23129014557,-1280238105,-577741935,-340000000,-41560051470,-9811584193,-1133265435,,,-47365000,-192282505,-775993589,-481816778,-1371267436
III. Bất động sản đầu tư230,17638133858,,,,9773552695,,,,2058204368003,11916526443,78335066530,25981531993,,183462679771,29803722274,,66892733815,219541834308,,,,,175414839740,,,5022580370,,,67832488724,85586218470,28867975888,,,56960390955,,,300198896460,,,2957892268,,,,,,
- Nguyên giá231,26578276576,,,,20870696426,,,,3245986712398,13531170316,116761052620,127979995282,,599024606306,30684415596,,83750304619,249083052956,,,,,226352419154,,,12203241726,,,121306135022,102455790573,59564143487,,,106202325022,1478303812,,310085452925,,,8244096234,,,,,,
- Giá trị hao mòn lũy kế232,-8940142718,,,,-11097143731,,,,-1187782344395,-1614643873,-38425986090,-101998463289,,-415561926535,-880693322,,-16857570804,-29541218648,,,,,-50937579414,,,-7180661356,,,-53473646298,-16869572103,-30696167599,,,-49241934067,-1478303812,,-9886556465,,,-5286203966,,,,,,
IV. Tài sản dở dang dài hạn240,270510668449,,19634749851,7061756481,7270089734,4446621986,,,8333386636363,90022594,272663177091,1300526734,6369610766433,125594076952,,16340000,329876048,22245699023,,20391542457,17156561914,,613897374229,301920000,9901743478,18518519,46027069653,1633667898,388098766355,934752030,20522000,1081899063,3052119567,128730000,3338014247,17148326724,458722683852,288185911637,,1052639091,5279738989,,5617417563,8385733678,,61148085369
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,5492966979185,,26854804278,,,125474076952,,,,,,,,,37973870280,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,270510668449,,19634749851,7061756481,7270089734,4446621986,,,2840419657178,90022594,245808372813,1300526734,6369610766433,120000000,,16340000,329876048,22245699023,,20391542457,17156561914,,575923503949,301920000,9901743478,18518519,46027069653,1633667898,388098766355,934752030,20522000,1081899063,3052119567,128730000,3338014247,17148326724,458722683852,288185911637,,1052639091,5279738989,,5617417563,8385733678,,61148085369
V. Đầu tư tài chính dài hạn250,360374165,7900000000,,,,,,,266625757612,23776129156,413127657100,350937862270,19330760758,156464801508,,,,30000000000,95997126061,64214208000,110364144457,,351642761899,9068998116,,4779833420,,310559218390,1803531474083,,,,156000000000,332289497587,,33111175704,140000000000,20000000000,197810600012,4800000000,,19502591910,117025553713,85943520779,157439624000,440619619571
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",360374165,,,,,,,,134205184190,23726129156,281650000000,317063527946,,127987189158,,,,,95997126061,37200000000,110364144457,,351642761899,9000000000,,,1020246000,144699218390,1787473522596,,,,,194393397587,,,140788107824,,197810600012,,,,117025553713,85943520779,157439624000,440619619571
3. Đầu tư góp vốn vào đơn vị khác253,,7900000000,,,,,,,137315605065,8724710000,27544244000,36544595330,27615814571,42198699970,,,,30000000000,,30685000000,,,,1000000000,,8922871000,,150860000000,14057951487,,,,190500000000,120496100000,,26811175704,,20000000000,,4800000000,,30000000000,,,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,,-4895031643,-8674710000,,-2670261006,-8285053813,-13721087620,,,,,,-3670792000,,,,-931001884,,-4143037580,-1020246000,,,,,,-34500000000,,,,-788107824,,,,,-10497408090,,,,
