Mã CK,API,APL,APP,APT,ARM,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AVC,AVG,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCR,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGE,BGW,BHA,BHC,BHG
2. Tài sản cố định thuê tài chính224,,,,,,4126025135,310636701083,83574816248,,,,,,,4315703014,18544007818,,,,,,,,,,,,,23063597437,,2839929239,,,,,18712045351,,,,9103043329,723833196,,,,
- Nguyên giá225,,,,,,7987313990,431165023524,108165491549,,,,,,,5265505600,19505272157,,,,,,,,,,,,,33084740755,,2987002257,,,,,25959244055,,,,11819606100,1232472730,,,,
- Giá trị hao mòn lũy kế 226,,,,,,-3861288855,-120528322441,-24590675301,,,,,,,-949802586,-961264339,,,,,,,,,,,,,-10021143318,,-147073018,,,,,-7247198704,,,,-2716562771,-508639534,,,,
3. Tài sản cố định vô hình227,97176430,,,,558448387,34204039077,1397101840373,,24100514420,3483420000,8578355895,,,97619699334,24542141786,5724397521,,,1762345005,,,,972683090,1595535508,,9141081772,13650991063,264688651,398809621130,128685496792,,1312163992,,2907473447,964681208,3440356725,116885179,15149323417,42610025,203589480889,393633638102,,,,
- Nguyên giá228,449728000,,2910231420,365560000,2513380500,61262997324,1542854325093,,28158407287,3483420000,10338380593,,,105553073589,28677302852,12851946000,,,14697492467,,190000000,681600000,2489556000,3972741000,347323529,12580505603,17909255385,389816500,470434553837,272514204674,319090900,4177881500,,4038215400,9414714111,6029344330,1010436800,15149323417,840456001,245068418857,420826943652,579777977,,,66172500
- Giá trị hao mòn lũy kế 229,-352551570,,-2910231420,-365560000,-1954932113,-27058958247,-145752484720,,-4057892867,,-1760024698,,,-7933374255,-4135161066,-7127548479,,,-12935147462,,-190000000,-681600000,-1516872910,-2377205492,-347323529,-3439423831,-4258264322,-125127849,-71624932707,-143828707882,-319090900,-2865717508,,-1130741953,-8450032903,-2588987605,-893551621,,-797845976,-41478937968,-27193305550,-579777977,,,-66172500
III. Bất động sản đầu tư230,234660811747,,,,917420492,1862376794,508605188276,,,,,,,,77646662826,,,113978846867,19261144007,,736242771,,,,,,9512048321,,,2662168674625,,,,,,77451914250,,3150877211,9176098307,,,,,,
- Nguyên giá231,247051384582,,,,14592093630,4158805870,657354041023,,,,,,,,91251885140,,,218218162552,25794861482,,2412451487,,,,,,9512048321,,,2931525230429,,,,,,86377599542,,16618239762,22403976639,,,,,,
- Giá trị hao mòn lũy kế232,-12390572835,,,,-13674673138,-2296429076,-148748852747,,,,,,,,-13605222314,,,-104239315685,-6533717475,,-1676208716,,,,,,,,,-269356555804,,,,,,-8925685292,,-13467362551,-13227878332,,,,,,
IV. Tài sản dở dang dài hạn240,66898639208,,430780835,,,366782767973,1373371010233,,1425750826,,4870939510,,,1832642642,3073808201,891504067834,,157963253104,60004661776,,,,11365754050,27500583608,3428260990,15638168536,,168367289158,2071267138800,3046434390942,687272727,961084448730,,,,437722416211,970513537,,,7684706260,1182690679906,38311074067,,,2639401298
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190340811587,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,66898639208,,430780835,,,366782767973,1373371010233,,1425750826,,4870939510,,,1832642642,3073808201,891504067834,,157963253104,60004661776,,,,11365754050,27500583608,3428260990,15638168536,,168367289158,2071267138800,856093579355,687272727,961084448730,,,,437722416211,970513537,,,7684706260,1182690679906,38311074067,,,2639401298
V. Đầu tư tài chính dài hạn250,86555949563,,19123722257,20000000000,,242356904391,33310000000,129167240172,63961981919,,,,33000000000,79800000000,,,,,200000000000,,,,,,,,,,3454344675121,19493100197998,,1066907134418,,,3000000000,,,,,5161315268,905670377971,,,,
1. Đầu tư vào công ty con251,,,5033122718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",86555949563,,15200000000,20000000000,,240406904391,,129167240172,57066287519,,,,,,,,,,,,,,,,,,,,3110823746524,18900730977198,,1066907134418,,,,,,,1178000000,,841539347356,,,,
3. Đầu tư góp vốn vào đơn vị khác253,9500000000,,,,,1500000000,2000000000,16340000000,6405140700,1335000000,,,33000000000,79800000000,,,,,,,,,,,,,,,259819156293,592369220800,,,,,,1192413670,,,,11661918871,81000000000,,,680000000,
4. Dự phòng đầu tư tài chính dài hạn254,-9500000000,,-1109400461,,,,-2000000000,-16340000000,-1107420700,-1335000000,,,,,,,,,,,,,,,,,,,-20298227696,,,,,,,-1192413670,,,-1178000000,-6500603603,-16868969385,,,-680000000,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,450000000,33310000000,,1597974400,,,,,,,,,,200000000000,,,,,,,,,,104000000000,,,,,,3000000000,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,23836203396,,463066744,14582533307,388606847,406213341287,983201321880,473195394665,39029023478,,,16208334,44603986,20941413473,18398749484,858435966547,745992845,128359552962,198053027712,,1008141281,,4861846962,29764440752,142446328847,117244301419,3277395343,851821233,478019699068,400267543021,7162235617,78744844718,1776049227,213254016,50552625006,305918711254,26005393860,231711345,1357056871,17857662388,135204741998,2674182243,20925926,14895888871,1972778810
1. Chi phí trả trước dài hạn261,23836203396,,463066744,14582533307,388606847,236325365628,643968340031,469574901391,21374934199,,,16208334,44603986,,18398749484,848366480327,745992845,128034547171,195860646664,,1008141281,,4778608512,28334379861,141599322847,109170742414,3277395343,294370811,179523304394,141441798651,7162235617,45381885106,1776049227,213254016,34432924801,303798861184,26005393860,231711345,1357056871,2671767728,69713347344,2674182243,20925926,14895888871,1972778810
2. Tài sản thuế thu nhập hoãn lại262,,,,,,37835387355,462715482,2895985956,,,,,,,,7911525964,,325005791,2192381048,,,,83238450,1430060891,,,,557450422,147848948439,258825744370,,2159025753,,,,2119850070,,,,15185894660,8181182706,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,1119500000,,,,,,,,20941413473,,,,,,,,,,,847006000,8073559005,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,130933088304,338770266367,724507318,17654089279,,,,,,,2157960256,,,,,,,,,,,,,150647446235,,,31203933859,,,16119700205,,,,,,57310211948,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,2169582660887,139051512756,59859418868,175914239911,172275408667,3270895843935,22856055629167,1560334897939,853280271228,21594100556,117446393443,8555744917,48375125736,1261428330265,403807020002,7449030044505,35116574980,724328063781,2190476007999,95269970298,33623857760,291306659104,324319197216,3915371195873,284938791327,3412371648825,713164517958,646644764210,46522627426159,58780757768275,111094283731,13319200936713,21562120324,25563547055,1132622851960,1109510340663,458561608019,54259616136,70325608795,3277320050193,19445718469090,230310559108,1540248072258,34347882752,156104881160
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,1260248616456,122408775319,16637907653,1642039359458,133696012957,1238946012578,14768320800881,1253234664905,234980632497,502196312513,86575290883,8390774379,4722235191,176046858916,176880193121,4513278390887,4500655307,513890957153,694687530013,20339002661,9337737687,183476510255,170464154417,3415756601306,206738969686,1635582933110,327359957443,251261941894,25129038467955,38101557432910,76269622193,7142481659496,6579711510,12105139534,480502349514,563221556197,200880191289,10724712975,7155766643,1759956299456,9328358118156,37581821506,553897997252,111390268356,60872160731
