Mã CK,BHK,BHN,BHP,BIG,BIO,BKC,BKG,BLF,BLN,BLT,BMC,BMD,BMF,BMG,BMJ,BMN,BMP,BMV,BNA,BNW,BOT,BPC,BQB,BRC,BRR,BRS,BSA,BSC,BSD,BSG,BSH,BSL,BSP,BSQ,BSR,BST,BT1,BT6,BTB,BTD,BTG
"2. Đầu tư vào công ty liên kết, liên doanh252",,235633037790,22500000000,,,1475086581,147000000000,1814113636,,,,,51313489778,,224000000000,,61787363980,,,14270362558,,,,,342886600625,,,20975610000,,,,,,,,,,1050000000,,,
3. Đầu tư góp vốn vào đơn vị khác253,,43750000000,,30896000000,,26690216075,89110000000,,,14102287,,,10000000000,700000000,697500000000,,4000000000,,,,,,,6000000000,324501345330,,,878238342,8530500000,,,,,,217016028927,727920000,,34880800000,,,
4. Dự phòng đầu tư tài chính dài hạn254,,-2712958040,,,,-1595086581,,-1452227513,,,,,-126685794,-76558878,,,-2000000000,,,,,,,-6000000000,-2774221408,,,-6529679767,,,,,,,-207479485624,,,-1869236602,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,200000000000,,,,2000000000,,300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,22930567460,215780155606,13677993509,835603555,603338074,56849484598,56936609,1859827293,891443827,5493672127,13169400147,1161318217,2159949408,22160187283,31035154492,133693000,235840914348,2148083883,21978456477,21241125530,,,3500985312,28223598371,12346315133,1117805469,84436278205,1098376507,8051373379,10005777806,4138703544,13300976251,18115149157,126011355076,1744956298885,,17566254345,1945830000,21875286336,32378647458,9010223
1. Chi phí trả trước dài hạn261,22930567460,205053706642,13677993509,835603555,603338074,56849484598,56936609,1859827293,891443827,5493672127,13169400147,1161318217,2159949408,22160187283,31035154492,133693000,211918767043,2148083883,18187704973,21241125530,,,1026944821,28223598371,4978240242,1117805469,76340230827,1031571032,6379085011,10005777806,2110186851,6059357056,18115149157,118928709124,1744956298885,,17566254345,1945830000,21875286336,32376298028,9010223
2. Tài sản thuế thu nhập hoãn lại262,,7085348505,,,,,,,,,,,,,,,11926648973,,2239291721,,,,,,7368074891,,,66805475,1672288368,,2028516693,2346262609,,2666760635,,,,,,2349430,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,3641100459,,,,,,,,,,,,,,,11995498332,,,,,,2474040491,,,,8096047378,,,,,4895356586,,4415885317,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,1551459783,,,,,,,,,,,,,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,101444195565,7259200002724,196236515355,359029521608,111763235639,428046906095,796710502449,584243515287,146292400388,99406115524,257035164033,71866119732,716706018893,178466849746,1646524044872,63017275070,3200494976288,476333033011,1617193192605,906953596717,1823321969029,178138045193,42907653330,309086396953,1618629580917,121747688131,1276003968031,43384210473,126618404710,557412210257,395563722023,641380895074,331530060538,1330933178845,88386867728798,25522737905,255621521969,172748607501,165075204940,750887054021,18758522294
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,51444411292,1992820227026,41746968455,195982112785,12229557539,193118509918,44768337690,467882844875,91912927396,24811071640,20246329163,35366790864,536633975707,63442956247,430566468285,33285070267,498796285653,229756654422,1078128069878,479918472984,1419268022094,84304765092,16130803943,96508881762,172585235623,56356648037,369661070001,2754607519,58247321413,181389719642,88482284367,133146238020,140454931550,493995757281,32848858696659,10160258632,151213146590,1166341720091,50747405816,498806269850,1454075824
I. Nợ ngắn hạn310,41497791292,1869699422684,41746968455,169822112785,12229557539,160692053433,44750468690,448202379765,42730967396,24811071640,20246329163,35366790864,530376775701,61242991247,393403171346,33285070267,480999507110,229647882922,921918654432,141625355235,753644147681,84304765092,15951423943,96508881762,159528995175,56356648037,280682070477,2167607519,53455520319,143792429942,88236136317,132974238020,131246931550,493995757281,31984096504586,10160258632,151038146590,1166341720091,46788002816,495610817100,1454075824
1. Phải trả người bán ngắn hạn311,2540803623,610051831692,11997429582,128364733407,5730111973,93590898695,5716254468,107339921656,10781965903,125578890,830738507,2548299890,2165116757,22653990277,41800266669,7310904770,172294900429,40705666301,135366643165,39976940936,30617744676,53450679566,4528517758,36548190628,8222977061,5539573549,1376749671,75002631,8145560199,70418124569,15199032223,21186921920,8030350537,49265381883,14473448516628,6577904145,21151917661,141683076489,10240800992,210398933524,1153100100
2. Người mua trả tiền trước ngắn hạn312,,109148123978,,1253561500,186361003,13439168154,1944409977,47006082925,,7294505245,725000000,34720580,5292876607,3290485548,25095796527,1051076140,7577315609,310683500,55686258635,254279931,935730593,,,4578296841,2105726859,4891892251,2331014959,142789599,927800000,1037057086,,,56228790,27423572,24566144694,204605782,5005733185,62052523258,,46436419200,
3. Thuế và các khoản phải nộp Nhà nước313,12838812132,382187805603,9004503089,2178975647,1257744509,13390707309,3328464441,2364548620,1469881853,1907401374,146724174,2014417898,2603374897,824431009,10522215383,1985366485,71827591561,4019954845,19640640695,47556889340,,795488146,9621168485,934719535,12705428854,11979948171,12224896752,400515870,25241623094,3752156535,57539650778,97167571524,39911802440,216649644530,1146347680278,111343414,1801467196,425478068,7382202700,7629834612,127971822
4. Phải trả người lao động314,2031868403,178323002524,5198089649,293638087,4004782364,4003568926,244244766,5505094824,13038847823,5300000000,9358126939,19044875162,2089238625,27483878037,2488451263,,91546783815,7480079753,2499972762,12623084318,,8626300851,1616093436,10574360827,35789607452,8511742893,3694728063,246862286,1853044677,29639158445,2176062361,2261149994,1121041965,3489597698,193259628424,2101096801,7705451051,1481845882,4147180000,23821655352,85215070
5. Chi phí phải trả ngắn hạn315,,143604819918,174595692,260536368,61968978,13450388915,532272469,542759906,453582611,4551651313,5337833989,3016310165,2670955970,868977866,977593178,307231797,77584455466,663105143,,1821612707,397615721223,346316522,182650546,381393795,291343601,,10149189646,258000000,847353803,24196222916,1365590280,5589389521,2014159846,8907652469,44823127053,280141362,361827235,14169820061,607462491,2725987522,54766922
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn318,,4800000,,,,,1080000000,,737765000,133596540,,,120545455,,,,,243415022,878181818,,,,,,,,,,,10841772002,,,,,573681723,,,,,,
