Mã CK,PET,PFL,PGC,PGD,PGN,PGS,PGT,PGV,PHC,PHH,PHN,PHP,PHR,PIA,PIC,PIS,PIT,PIV,PJC,PJS,PJT,PLA,PLC,PLE,PLP,PLX,PMB,PMC,PMG,PMJ,PMP,PMS,PMT,PMW,PNC,PND,PNG,PNJ,PNP,PNT,POB,POM,POS,POT,POV
- Giá trị hao mòn lũy kế 229,-16468694506,-140846000,-17095672006,-15360361320,,-17995401153,-1400891772,-82469970772,-1140771760,,-127518552,-38150887375,-981422935,-1654405900,-177106006,-3685324080,-2190287522,-48575007,-1108324522,-3730087458,,-81625605,-11167482999,-139181700,-3351950801,-937347245966,-95613600,-5843309445,-2818181818,,-434205456,-868475452,-2760396932,-1691281535,-6363873614,-1404557186,,-99453623956,,-2661809400,-4543495849,-14571337823,-19107669163,-411409000,-793906228
III. Bất động sản đầu tư230,513826715851,31777020285,,,,,,,67012734338,4341513185,,,170835951867,,,30427518924,,,,,,24172078388,,,6548844105,107979606627,,,94083370558,,,,,,,,825809742,,,27564828873,,,,1850963362,
- Nguyên giá231,852074158578,37105980825,,,,,,,77144485883,4729769185,,,262004012636,,,86358014919,,,,,,34582193120,,,6548844105,195263598500,,,94327181818,,,,,,4170407110,,3911322755,,,38519682165,,,,2355197659,
- Giá trị hao mòn lũy kế232,-338247442727,-5328960540,,,,,,,-10131751545,-388256000,,,-91168060769,,,-55930495995,,,,,,-10410114732,,,,-87283991873,,,-243811260,,,,,,-4170407110,,-3085513013,,,-10954853292,,,,-504234297,
IV. Tài sản dở dang dài hạn240,37509649278,,8440764617,1906111518,745948500,38966345187,,612565147272,1457789091,8460132829,2756299608,3161207713345,465735121976,3359511363,22268786691,256839283724,,106399545279,33358359092,1464722288,,,10737047324,,69803184796,1445555813867,,68689000,1644265260,,205540740,,,83747726788,2186373973,22727273,7601049754,64702641159,1467469651,23362003582,807841553,5723033373310,1812500000,824077443986,1134357805
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,75976829417,,,255582852151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,37509649278,,8440764617,1906111518,745948500,38966345187,,612565147272,1457789091,8460132829,2756299608,3161207713345,389758292559,3359511363,22268786691,1256431573,,106399545279,33358359092,1464722288,,,10737047324,,69803184796,1445555813867,,68689000,1644265260,,205540740,,,83747726788,2186373973,22727273,7601049754,64702641159,1467469651,23362003582,807841553,5723033373310,1812500000,824077443986,1134357805
V. Đầu tư tài chính dài hạn250,89835744001,21135520433,500400000000,,600000000,,,2546895008122,244836628757,171704716728,19356014246,315131724800,542968698394,,,136588730748,,,1122085178,,327802000,,,,206640398456,3221257702429,,,,2058000000,,24416883058,,102578525900,2499906900,415867237,,3980000000,,50000000,,10000000000,,13578888541,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",87404831883,,,,,,,2009985634734,209511758757,165504216728,,313091724800,370924802749,,,132716779882,,,1800000000,,,,,,209000000000,1579182296955,,,,,,24416883058,,102578525900,,,,,,,,,,13578888541,
3. Đầu tư góp vốn vào đơn vị khác253,22465000000,48428000000,,,,,,536909373388,24642000,6200500000,27000014246,2181131012,130766466604,,,7511619996,7975000000,,,,327802000,,,,,263775498977,,,,3058000000,,355000000,,,2499906900,5000000000,,399251613400,,50000000,,11402985380,,,
4. Dự phòng đầu tư tài chính dài hạn254,-22465000000,-27292479567,,,,,,,,,-7644000000,-141131012,,,,-3639669130,-7975000000,,-677914822,,,,,,-3659601544,-122100093503,,,,-1000000000,,-355000000,,,,-4584132763,,-395271613400,,,,-11402985380,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,2430912118,,500400000000,,600000000,,,,35300228000,,,,41277429041,,,,,,,,,,,,1300000000,1500400000000,,,,,,,,,,,,,,,,10000000000,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,204559027141,27496047076,256361660978,121513503506,1297794628,647469520919,10657483251,2267892231544,22029939904,32585168519,1709153336,96806064066,371929260347,6147311650,4771446312,13379606745,3779955114,239003770,17953738269,,66468320,19122930877,182624749292,,23910252107,3339510809214,4813081650,6061857726,409167220744,336104652,3535790843,46515793399,1143805060,12081036745,3966630390,27944820984,5347491447,473732557913,2082033944,525805679,21693184803,105750277109,64806547942,51745867908,76745663788
1. Chi phí trả trước dài hạn261,204553274771,1262742636,251566635106,121513503506,1297794628,633773650751,354884678,260051045227,17269939904,32585168519,1709153336,81772614377,337209238951,6147311650,2084137577,12959602029,3769151461,239003770,17953738269,,,19122930877,182583030824,,23910252107,3196608497707,4813081650,6061857726,377704734736,138264220,3535790843,46459799426,1143805060,12081036745,3729127062,27944820984,5347491447,276525499295,2082033944,525805679,21693184803,103963961034,27788293288,51745867908,76745663788
2. Tài sản thuế thu nhập hoãn lại262,5752370,,4795025872,,,13695870168,,,,,,15033449689,34720021396,,,420004716,10803653,,,,66468320,,41718468,,,138666258231,,,30265018526,197840432,,55993973,,,237503328,,,197207058618,,,,1786316075,37018254654,,
