Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
- Giá trị hao mòn lũy kế 229,,,,-328721334,,-11707181703,-1084630673,-1839737688,-579729600,-19225028318,-34568825464,-2380379726,-75000000,-122383880,-120755559,-376500000,-55224405400,-774068000,-53655067343,-101136655,-1025080400,-466272890,-15849099218,,-159181000,-16465095477,,-595446310,-2817028568,,-3684107933,-4852144433,-1115877290,-11776051043,,-117251752,-4053752031,-6389140421,,-253917353,-2210012675,-741555560,,-225000000
III. Bất động sản đầu tư230,,,165460264650,,,18181485889,,,,35016616742,,57948027712,,,11362323271,,137835250280,,170873220268,118225810588,3084863042,15415265415,,,,,,,36078675198,,,5877931663921,,,,,,,,4431310670,,,,
- Nguyên giá231,,,217134585553,,,34606805209,,,192660600,49984191858,,99465396767,,,12488084119,,142987397600,,222174136000,139225945405,26962855342,55318702788,,,,,,,57817638519,,,6897120097105,,,,,,,,15832845014,,,,
- Giá trị hao mòn lũy kế232,,,-51674320903,,,-16425319320,,,-192660600,-14967575116,,-41517369055,,,-1125760848,,-5152147320,,-51300915732,-21000134817,-23877992300,-39903437373,,,,,,,-21738963321,,,-1019188433184,,,,,,,,-11401534344,,,,
IV. Tài sản dở dang dài hạn240,,9391659692,1750689707,73241011728,636755251,692779076321,213077459,,8777896163,1289750909,6333457995,90171000,150000000,3967289330,77865000,,20806445489,843602693,102983013837,126318802399,2587824062,662395920500,31049377274,556031074,,784156475359,182143062505,1571279313,497862223112,137336081,1363914744,2379799137691,,236850678674,20447152747,563313500,,204740779185,,2383769630914,32275185160,6858232850,667295065,228125000
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,1750689707,,,,,,,,,,,,,,,,39141592111,112745320707,,,,,,,182143062505,,,,,72550025238,,,,,,,,2370682770951,,,,
2. Chi phí xây dựng cơ bản dở dang242,,9391659692,,73241011728,636755251,692779076321,213077459,,8777896163,1289750909,6333457995,90171000,150000000,3967289330,77865000,,20806445489,843602693,63841421726,13573481692,2587824062,662395920500,31049377274,556031074,,784156475359,,1571279313,497862223112,137336081,1363914744,2307249112453,,236850678674,20447152747,563313500,,204740779185,,13086859963,32275185160,6858232850,667295065,228125000
V. Đầu tư tài chính dài hạn250,1077559781,15739033894,22577837748,,,1203314475908,,770000000,,6392992400,43874896709,182068186314,40000000,,8991281281,,180341605174,,1307671015525,69088301783,92598404204,1372207454398,10000000000,557784472,,185688147988,817987590812,5243382739,1228639003624,8244657431,143153395000,1190093698417,7936000000,30825500000,1841309273,207367000000,,2552459899566,18116778555,42598642330,,,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,92598404204,,,1500000000,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,9646001986,,,1087895550664,,,,,43874896709,179981186314,,,8991281281,,115063555174,,976170783978,31360136767,18983934769,828174513445,,,,178393147988,737939330812,,1228639003624,8244657431,,848891105491,,,,205570000000,148425794735,2433679829640,15998500000,,,,,
