Mã CK,XDH,XHC,XLV,XMC,XMD,XMP,XPH,YBC,YBM,YEG,YTC,ABA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,VAE,RSM,A&C,NVA,NVA,AASC,AVA,NVT,A&C,EY,A&C,
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,
Ngày công bố báo cáo,03-04-2025,04-04-2025,26-03-2025,03-04-2025,14-03-2025,05-03-2025,27-02-2025,02-04-2025,29-03-2025,31-03-2025,18-03-2025,02-04-2025
Ngày ký kiểm toán,29-03-2025,02-04-2025,21-03-2025,29-03-2025,10-03-2025,24-02-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,15-03-2025,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,
14. Lợi nhuận khác40,6146069895,427024550,-410302871,5683425449,15538226,-225856239,7222216,-9144408731,-457661447,-7930215677,1269661385,
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,26849280800,52901072753,12872335967,19724118251,3332129357,18806060383,-7167415138,19257529000,17592876155,110622543863,11202793389,
16. Chi phí thuế TNDN hiện hành51,5835148348,,3090451604,11903042342,115234458,1006089601,,4805625924,4261095643,12081916503,1588862960,
17. Chi phí thuế TNDN hoãn lại52,,,,484429620,,,,,,-24033663235,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,21014132452,52901072753,9781884363,7336646289,3216894899,17799970782,-7167415138,14451903076,13331780512,122574290595,9613930429,
Lợi ích của cổ đông thiểu số,,,,-486558692,,,,,,-3133772972,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,21014132452,52901072753,9781884363,7823204981,3216894899,17799970782,-7167415138,14451903076,13331780512,125708063567,9613930429,
19. Lãi cơ bản trên cổ phiếu,778,2509,3261,110,804,1165,-553,1227,932,918,1461,
20. Lãi suy giảm trên cổ phiếu71,,2509,3261,110,804,,,1227,932,918,1461,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,,52901072753,12872335967,19724118251,3332129357,18806060383,-7167415138,19257529000,17592876155,110622543863,11202793389,-70656413314
2. Điều chỉnh cho các khoản,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,,18548493339,1504191950,43723691322,2935480472,19315293164,3369252748,40193983064,29279313877,54824557578,4159592422,37306481005
Các khoản dự phòng03,,-208495164,10111013054,-28097544069,,,780013447,-193568686,-763479234,16612904416,9015869097,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,415460178,,-2706335975,,,,-65999,166513779,,140063044,
"Lãi, lỗ từ hoạt động đầu tư05",,-50523670487,,-23163429740,-80557398,-48990435,-972492944,-68764676,-325810758,-155697273093,-7277234733,
Chi phí lãi vay06,,17358386749,494697107,70586907151,863580631,17361261264,,41512264052,20497866556,28208427529,10205259023,63726773238
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,-860202020
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,,38491247368,24982238078,80067406940,7050633062,55433624376,-3990641887,100701376755,66447280375,54571160293,27446342242,29516638909
"Tăng, giảm các khoản phải thu09",,43571626273,-15538835985,203396906588,4109618390,25782882,162893807,-43034505252,-26274279571,-84686670798,35803719770,-54820715151
"Tăng, giảm hàng tồn kho10",,11770167840,-24365535846,115757554392,-338508266,-166405753,632707809,-159098236318,-36230153374,-57188071887,-33373318187,-10852721981
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",,43813694647,29693728926,34974260039,7180795548,1058010189,-720977245,151004968107,25166555545,419591062933,4573557108,34617383484
"Tăng, giảm chi phí trả trước12",,5119722796,-52700619,-10831172744,-789567850,653706154,246299300,5336655571,-1074684250,43291436246,710208443,5001871798
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,,,
Tiền lãi vay đã trả13,,-17525582470,-494697107,-53653965539,-878085740,-15505773571,,-39508110848,-20868941969,-16714808252,-10356993930,-9191679085
