Mã CK,HOM,HOT,HPB,HPD,HPG,HPH,HPI,HPP,HPW,HPX,HQC,HRB,HRC,HSG,HSL,HSM,HSP,HSV,HT1,HTC,HTE,HTG,HTI,HTL,HTM,HTN,HTP,HTT,HTV,HU1,HU3,HU4,HU6,HUB,HUG,HUT,HVA,HVH,HVN,HVT,HVX,HWS,IBD,ICC
- Giá trị hao mòn lũy kế232,,,,,-300950552522,,-111644825624,,,-127079820769,,-41882918457,,,,,,,,-47523250033,,,,,-37020604687,-18569482956,,-11911417959,,,-2218830927,,-3215088493,-56272568771,,-429588972567,,,,,,,,-19013187718
IV. Tài sản dở dang dài hạn240,120194017591,5104760684,283308000,,63750717325406,238000000,1351130955546,8602580702,46072714514,5947304545,1551551919,1322404696,207478552863,663598828419,,,,,526184269240,139851258663,23485907100,16490702063,,,963445908218,,4703649043191,89942061027,,122021973159,5569319632,,,402368636,4128664820,2279204614118,,178015835737,109159553411,4573351944,13601667701,193456640974,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,94859885024,,,,,,,,,,,,,,,139509017754,,,,,546582721998,,3460476773311,79453592845,,120708242353,,,,,,416704860195,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,120194017591,5104760684,283308000,,63655857440382,238000000,1351130955546,8602580702,46072714514,5947304545,1551551919,1322404696,207478552863,663598828419,,,,,526184269240,342240909,23485907100,16490702063,,,416863186220,,1243172269880,10488468182,,1313730806,5569319632,,,402368636,4128664820,1862499753923,,178015835737,109159553411,4573351944,13601667701,193456640974,,
V. Đầu tư tài chính dài hạn250,,,62836000000,47585000000,136500000000,,64029354991,239916094873,700000000,86264066926,2346363621339,,236538195751,1000000000,73988587913,11782104785,,,36484000000,59474606496,1092603100,19321903158,,,202403216823,,195268613,,,1898143532,1607714052,,10000000000,186315545675,103655155490,998620149845,,119743182005,1795287517500,,,,,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,47520000000,,,47331000000,169590371286,,55946786097,2345283621339,,,,73988587913,893625000,,,,59474606496,,18371879809,,,131429664041,,,,,351981707,,,10000000000,185192971985,63501155490,825479026699,,119743182005,1421385347451,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,,,,65000000,,,16698354991,65060883587,,30317280829,3188880000,,238504630000,,,24000000000,,,56000000000,878238342,2292603100,7755702000,,,89018552782,,1123855592,,,1546161825,2610000000,,,1122573690,9730994000,172517579924,,,463902170049,,,,,
4. Dự phòng đầu tư tài chính dài hạn254,,,,,,,,-7735160000,,,-2108880000,,-1966434249,,,-13111520215,,,-19516000000,-878238342,-1200000000,-6805678651,,,-18045000000,,-928586979,,,,-1002285948,,,,-2476994000,-376456778,,,-90000000000,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,62836000000,,136500000000,,,13000000000,700000000,,,,,1000000000,,,,,,,,,,,,,,,,,,,,,32900000000,1000000000,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,125917593688,8051573362,,762890798,5016848415359,10746236377,310745121,39561817028,5042379573,9065206293,2695340704,202926013,3578758815,401090402216,2391629573,101184544009,1212494856,203446140,660253528766,13536423478,78527672,44598312839,82769057169,28170152289,174252310455,74331375868,211912859803,4840522,,,516191857,629686041,114957716,26877000721,8338294854,3644849086059,127807545,1017204699,7485588784206,9991377493,44278139834,17192223008,806815265,520486484
1. Chi phí trả trước dài hạn261,32924016197,8051573362,,762890798,4269141694868,10746236377,310745121,39561817028,5042379573,8021105166,2469037159,202926013,3578758815,261145045760,2391629573,101184544009,1212494856,203446140,534497647239,12146914511,78527672,42994997756,,28018414752,146143547484,2045367851,160141300168,4840522,,,516191857,629686041,114957716,23017373455,8338294854,1466737636849,127807545,955067713,7229292922164,9991377493,44278139834,17192223008,806815265,520486484
2. Tài sản thuế thu nhập hoãn lại262,1441674483,,,,254671208385,,,,,1044101127,226303545,,,139945356456,,,,,12048302483,1389508967,,1603315083,48672936198,151737537,,63411500723,51771559635,,,,,,,3859627266,,29578166543,,62136986,1530954531,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",91551903008,,,,429422385383,,,,,,,,,,,,,,113640619670,,,,,,,,,,,,,,,,,,,,254764907511,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,34096120971,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,63613126723,,,,,,,,,,,,,,66959374,,,,,,28108762971,8874507294,,,,,,,,,,2148533282667,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,1239509793025,78587323551,155156673206,169609975162,224489707553981,106657529058,2398005850846,1380757455885,2075727865394,7701601506749,10101966534123,163153156816,845935227453,19565620935157,469338948444,1205645538962,228822745486,403877343119,8223355674148,601819309996,329024019693,2922215616846,1507355905696,265694603693,3121830172053,7656387400986,6682850387125,197896283147,397155739051,681855421572,211940954386,702680507824,101729971970,961051200352,607907632393,28987313377347,151294078700,693955654311,58186613862766,844727537990,602268826063,1992633569027,120022734774,281884326459
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
