Ngày ký kiểm toán,05-03-2025,29-03-2025,26-03-2025,28-02-2025,27-03-2025,27-03-2025,26-03-2025,24-03-2025,28-03-2025,26-02-2025,20-03-2025,28-02-2025,29-03-2025,22-03-2025,18-03-2025,25-03-2025,18-03-2025,22-03-2025,18-03-2025,24-03-2025,29-03-2025,28-02-2025,28-02-2025,28-03-2025,25-03-2025,25-03-2025,01-03-2025,20-03-2025,18-03-2025,21-03-2025,27-02-2025,03-03-2025,20-03-2025,27-03-2025,28-02-2025,12-03-2025,03-03-2025,24-03-2025,29-03-2025,06-03-2025,31-03-2025,26-03-2025,10-02-2025,17-02-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 229,-3193514857,-3972983463,,,,-652427974,-9998849169,-6129149468,-260000000,,,-126349536380,-40877588300,-101734433,-48828252296,,,-85000000,,-4506178866,-41690080372,-4247118000000,-467255527000,,-16605171812,,-40000000,-484224377,-69427600,,,,-7805678046,,-6245912783,-205146518489,-280991652199,-26830206688,,-8841886111,-17673172853,-2190869572,-499862000,-10548425482,-11714997
III. Bất động sản đầu tư230,,,,133252923993,60299197721,,25614023848,,,,,,,,,,,,,,,4166000000,,,69473109609,,,,,,,,,,80985682817,3605779712,417002112683,,,,,,,10004432717,
- Nguyên giá231,,,,224434237592,60299197721,,33755261371,,,,,,,,,,,,,,,18628000000,,,85494254799,,,,,,,,,,107725874427,9880166115,801560573617,,,,,,,14143740334,
- Giá trị hao mòn lũy kế232,,,,-91181313599,,,-8141237523,,,,,,,,,,,,,,,-14462000000,,,-16021145190,,,,,,,,,,-26740191610,-6274386403,-384558460934,,,,,,,-4139307617,
IV. Tài sản dở dang dài hạn240,870084864,3766633283,49623353272,23162931544,360000000,4020040395,47744728569,2414610,,87136111,514691000,22405540830,5374164166,,1012446419877,,70791666,1468686736,18881920965,66212511,473271197895,1670868000000,1209272739000,,411000849332,,,,2671398521,,,9285946000,28650000,,17237346883,35792005432,3528272652993,24526423340,45115899277,,5922498510,193780000,32530607407,450180000,232978407
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,49623353272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39141592111,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,870084864,3766633283,,23162931544,360000000,4020040395,47744728569,2414610,,87136111,514691000,22405540830,5374164166,,1012446419877,,70791666,1468686736,18881920965,66212511,473271197895,1670868000000,1209272739000,,411000849332,,,,2671398521,,,9285946000,28650000,,17237346883,35792005432,3489131060882,24526423340,45115899277,,5922498510,193780000,32530607407,450180000,232978407
V. Đầu tư tài chính dài hạn250,,120914645047,,,60599905266,,31485014559,24068960000,,,,2114054896942,81996138802,,199976937302,11464425714,1250000000,,,196800000,34460414543,35318781000000,,855673504503,253716706364,,,,350000000,8000000000,,,,,17470898166,335806457595,2220497150565,242035797830,,32075940000,2000000000,48134609114,4860000000,6744518776,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,67455795315,,,599905266,,1896459553,,,,,2114054896942,48874738147,,186976937302,,,,,,34460414543,33409931000000,,505639854166,8954652739,,,,,,,,,,1740000000,412842230886,1849307819163,242035797830,,2700940000,,28134609114,4860000000,49828776,
3. Đầu tư góp vốn vào đơn vị khác253,,55280000000,,,60000000000,1568600000,28088555006,24068960000,,,,,33256863385,,,11464425714,,,,196800000,,2932523000000,,350383300000,247439088500,,,,,,,,,,16607900000,,395522409602,,,375000000,,,,96694690000,
4. Dự phòng đầu tư tài chính dài hạn254,,-1821150268,,,,-1568600000,,,,,,,-135462730,,,,,,,,,-1023673000000,,-349649663,-2677034875,,,,,,,,,,-877001834,-77035773291,-24333078200,,,,,,,-90000000000,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,1500000000,,,,,,,,13000000000,,1250000000,,,,,,,,,,,,350000000,8000000000,,,,,,,,,,29000000000,2000000000,20000000000,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,12200542656,3646355534,65977411500,118128304913,,9058405819,97734733542,4372515849,2373448742,996434104,8631668659,638715391561,80882197776,862363328,159925814257,11775152,5010053199,26515151,12992665619,1571653855,26242795635,11447080000000,3266032980000,22959466,71041097656,1331076608,295587890,18260244986,7434953866,667403652,3650346226,10030152068,312000528,283836782,441884437795,251947415641,402349670495,358454413877,140510418294,1295910117,240669938827,27909142634,13719080850,3101877678,7411905649
