Mã CK,GMC,GMD,GMH,GMX,GND,GPC,GSM,GSP,GTA,GTD,GTS,GVR,GVT,H11,HAD,HAF,HAG,HAH,HAI,HAM,HAN,HAP,HAR,HAS,HAT,HAX,HBC,HBD,HBH,HC1,HC3,HCB,HCC,HCD,HCI,HCT,HD2,HD6,HD8,HDA,HDC,HDG,HDM
2. Chi phí xây dựng cơ bản dở dang242,13380169682,1718132778160,389974546,68824698926,967192000,29895729610,1191104357,117600000,,,,8871316032582,1084783314,,,126923946363,5022320011000,20809927916,3184746899,983125827,4657301320,1391770202,,60000000,,1859329476,48161028276,,146341000,,,1115668636,351851852,1137716955,29390000,,,112246213980,,,2691185854,810060273302,1139366296
V. Đầu tư tài chính dài hạn250,28523809971,3854379152187,,,,190070762007,,,2000000000,,,2687592909120,2100000000,,,2461442949,557387037000,173753234283,175046928728,4500000000,795190512134,55850000000,412988442754,8110035110,7500000000,,304880707419,21678000000,,28774941986,156996878544,,1890713177,,,,,600000000,3093343467,32000000000,825161233166,58743881200,10018455897
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",14757456971,3805207996433,,,,182879424853,,,,,,2258208135808,,,,1780163165,,153302367783,,,376958757352,46000000000,393048589422,,,,276399494346,,,30800000000,156996878544,,5319660000,,,,,600000000,3093343467,,811697233166,150000000,
3. Đầu tư góp vốn vào đơn vị khác253,15395180000,41913687500,,,,7250000000,,,2000000000,,,358702878861,,,,1173049254,917550007000,20450866500,175046928728,,457024236796,17450000000,24029410000,8110035110,7500000000,,40427400000,,,,,,,,,,,,,32000000000,13464000000,,11184054682
4. Dự phòng đầu tư tài chính dài hạn254,-1628827000,-2742531746,,,,-58662846,,,,,,-48815534590,,,,-491769470,-360162970000,,,,-38792482014,-17000000000,-4089556668,,,,-14090372798,,,-2025058014,,,-3428946823,,,,,,,,,,-1165598785
5. Đầu tư nắm giữ đến ngày đáo hạn255,,10000000000,,,,,,,,,,119497429041,2100000000,,,,,,,4500000000,,9400000000,,,,,2144185871,21678000000,,,,,,,,,,,,,,58593881200,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,12596867299,1673939611589,428023034,1597737107,44228742916,428457463,7061719605,4037100977,2960762774,159659739,6977425130,6727043802283,9784259167,,4437526185,3904085576,370977622000,454222491390,8831709704,21499919743,5927959939,573493735962,,129937157,28145593841,83450278812,243828178270,,10627444486,386578072,7512711058,3496777830,6327161693,6280422851,8236921748,1177245055,109993326,5626529287,190542990,27043526587,6922376791,97338216953,9963659337
1. Chi phí trả trước dài hạn261,12596867299,1296472457506,428023034,1564710135,44228742916,428457463,7061719605,1093497138,2960762774,159659739,6977425130,6204462521120,9784259167,,4437526185,3904085576,370977622000,381929124589,8831709704,17611169911,5575311975,287845911145,,129937157,27590426720,30609135931,185431288136,,10627444486,386578072,7512711058,3496777830,6312233182,6280422851,8209290335,1177245055,109993326,68353690,190542990,14224299818,5497785697,21263045001,7372269724
2. Tài sản thuế thu nhập hoãn lại262,,246350066371,,33026972,,,,2943603839,,,,245690231161,,,,,,,,2323728452,352647964,,,,555167121,3678349010,46142434714,,,,,,14928511,,27631413,,,,,,1424591094,49156685931,2591389613
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,108625965905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,131117087712,,,,,,,,,,168265084097,,,,,,72293366801,,1565021380,,285647824817,,,,49162793871,12254455420,,,,,,,,,,,5558175597,,12819226769,,26918486021,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,375947251647,17997853312717,184577708355,160368193371,437619654017,771272600755,763283625107,1692295374054,319677905588,120321270571,1073057092908,83383682512004,1117301946600,92712287387,95109340477,278883196366,22280815839000,7289524568993,2329839332044,1076079144514,6430485978435,1673886442184,1079949229332,155659997675,215392464620,2409018565316,15411757819043,37901468899,294336369996,1076689633635,735617643752,544251510806,145168686999,812015216625,166869958598,41898018028,314993367935,809981746029,171713799681,500829654995,4877377354862,13849363319491,1136855425788
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,10102345274,4225927310161,6758121273,43108233249,92985995814,176788189095,254460038828,839475028521,158664445852,94010737970,737727209276,24986520299896,513445632630,78737129812,21208308483,135753292300,12955187719000,3317831641262,510730861525,790530322186,4793615108376,226453118041,3410990195,27990946400,138307423179,918279014178,13663857821712,2316144601,124464688485,866875563554,39568398533,392748240734,59752097293,330161510968,102683031223,3240631847,203120100474,405105751057,60174032896,157830643596,2605267968738,6473382314030,723521721545
