Mã CK,TVN,TVT,TW3,TXM,TYA,UCT,UDC,UDJ,UDL,UEM,UIC,UMC,UNI,UPC,UPH,USC,USD,UXC,V11,V12,V21,VAF,VAV,VBC,VBG,VBH,VC1,VC2,VC3,VC6,VC7,VC9,VCA,VCC,VCE,VCF,VCG,VCM,VCP,VCR,VCS,VCT,VCW
- Nguyên giá225,,,,,,,,,,,,,,,,,,,,,,1594080000,45232080362,,,,,,,,,,,7361111111,,,180773597514,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,,,,,,-280678065,-34352064106,,,,,,,,,,,-1245156572,,,-74069271736,,,,,,
3. Tài sản cố định vô hình227,827449691741,348822000,,,,,15587827715,,,116774194,,4488742000,,16258400398,,1056384800,,27030596138,,5294551815,,19838710,3958483681,,,46708758,,,2707696276,,,453185180,,1404000000,,,9052319994,,189205159349,,2810850760,,
- Nguyên giá228,975254630996,1721142808,170000000,244000000,1000078800,,21936411764,,308000000,253538500,,4488742000,,21657443665,334130000,1056384800,170000000,27282954590,,6718603684,,34672662000,8174563494,,1340119155,201853607,,54587600,4375894383,300000000,516767278,662200000,,1849850000,,1880358879,19859253100,,235837356452,349002850,32321927247,584360000,878969151
- Giá trị hao mòn lũy kế 229,-147804939255,-1372320808,-170000000,-244000000,-1000078800,,-6348584049,,-308000000,-136764306,,,,-5399043267,-334130000,,-170000000,-252358452,,-1424051869,,-34652823290,-4216079813,,-1340119155,-155144849,,-54587600,-1668198107,-300000000,-516767278,-209014820,,-445850000,,-1880358879,-10806933106,,-46632197103,-349002850,-29511076487,-584360000,-878969151
III. Bất động sản đầu tư230,75478650660,41326728653,,,,,312650997911,,,,2414967941,,,20479308624,,,,,,13141958270,17191138640,,,,,,68422434853,139680688067,12270937458,18482745232,36550495608,6385681107,,11023130245,,,484366645688,28873401158,,,,,
- Nguyên giá231,192269450832,105192051769,,,,,451709045270,,,,16046366973,,,23227949304,,,,,,19203636607,19195066800,,,,,6211957943,139269771390,166483792304,57777144124,20555073347,56256439778,204626971103,,11023130245,,,920243753568,56689993386,,,,,
- Giá trị hao mòn lũy kế232,-116790800172,-63865323116,,,,,-139058047359,,,,-13631399032,,,-2748640680,,,,,,-6061678337,-2003928160,,,,,-6211957943,-70847336537,-26803104237,-45506206666,-2072328115,-19705944170,-198241289996,,,,,-435877107880,-27816592228,,,,,
IV. Tài sản dở dang dài hạn240,6424590417912,4620197700,122333333,,3092276182,128897545,11348891958,184294383000,,221400000,43700030719,,,1943222691,21237108032,40615000,,14322323992,201823643559,,28443805900,25039578740,23046912913,,,,,,711717335,,18703704,146558350359,575983500,1753788457,,3324400552,6745937750050,,51484014392,4847512872237,184382312159,,268510262578
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",46158220211,,,,,,5747044531,184294383000,,,24512320294,,,,,,,,201823643559,,,,,,,,,,,,,81652974401,,,,,96257064668,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,6378432197701,4620197700,122333333,,3092276182,128897545,5601847427,,,221400000,19187710425,,,1943222691,21237108032,40615000,,14322323992,,,28443805900,25039578740,23046912913,,,,,,711717335,,18703704,64905375958,575983500,1753788457,,3324400552,6649680685382,,51484014392,4847512872237,184382312159,,268510262578
V. Đầu tư tài chính dài hạn250,2886336553181,13053069597,,,,,17699,,22000000000,,2644242965,,,,,20375000000,,,,6145996151,,,,,,,,440075750263,146288224670,,315709003947,,,162250000,,,675373494363,,1569633602,,,3863490000,122509325759
1. Đầu tư vào công ty con251,34511992908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",2466900263687,8453069597,,,,,,,,,2644242965,,,,,20000000000,,,,8905500000,,,,,,510000000,,,146288224670,,315709003947,,,,,,635359821047,,1011968308,,,,
3. Đầu tư góp vốn vào đơn vị khác253,456585944694,4600000000,,,,,17699,,,,,,,,,375000000,,,,,,,,,,,200000000,440500000000,,1400000000,711075000,1800000000,,5162250000,,,87550463378,,732000000,,,3863490000,120859325759
4. Dự phòng đầu tư tài chính dài hạn254,-71661648108,,,,,,,,,,,,,,,,,,,-2759503849,,,,,,-510000000,-200000000,,,-1400000000,-711075000,-1800000000,,-5000000000,,,-47536790062,,-174334706,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,22000000000,,,,,,,,,,,,,,,,,,,-424249737,,,,,,,,,,,,,,,1650000000
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
