Mã CK,LGM,LHC,LHG,LIC,LIG,LIX,LKW,LLM,LM3,LM7,LM8,LMC,LMH,LMI,LNC,LO5,LPT,LQN,LSG,M10,MA1,MAC,MAS,MBG,MBN,MBT,MCC,MCF,MCG,MCH,MCM,MCO,MCP,MDA,MDC,MDF,MDG,MEC,MED,MEF,MEL,MES,MFS
- Giá trị hao mòn lũy kế232,,,-416418314207,-81837700,-1257783496,,,-44007628598,,,,,,,,,,,,,-79474910598,,,-2455746523,,-8816866690,,,-26017770087,-14462389881,,,,,,,,,-9480463590,,,,
IV. Tài sản dở dang dài hạn240,53069987709,184501067484,46282966077,1378638451947,1253028054703,2003258609,9879995608,36788280405,1275187028,,589049010,,,1797950760,37535351740,1179091045,,10436640,1261418003294,76485875449,80922727,9125000000,20000000,29381654427,,,,124243228,892799311060,332258325951,186804317819,37276384723,,,32995900178,426439936,56660349203,781492174,177699169876,98850120,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,1355580005015,62589501923,,,,,,,,,,,,,,1154643961758,,,,,,,,,,,,20571420405,36353825800,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang242,53069987709,184501067484,46282966077,23058446932,1190438552780,2003258609,9879995608,36788280405,1275187028,,589049010,,,1797950760,37535351740,1179091045,,10436640,106774041536,76485875449,80922727,9125000000,20000000,29381654427,,,,124243228,892799311060,332258325951,166232897414,922558923,,,32995900178,426439936,56660349203,781492174,177699169876,98850120,,,
V. Đầu tư tài chính dài hạn250,9600000000,,192290373308,796376091476,490742018990,55000000000,,550696410397,,,10190000000,,,11270000000,,140000000,3750000000,,,,,1200000000,,252307818164,5000000000,1999139782,,,11613900149,346526163816,83719600,4180644391,1972000000,,,3000000000,6308967773,4144756579,,174000000,,46740000000,
1. Đầu tư vào công ty con251,,,,,,,,,4280000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,122693500000,763700633868,410002074358,55000000000,,322511899877,,,10190000000,,,9800000000,,,,,,,,,,252307818164,,,,,,346526163816,,4180644391,,,,,3530000000,39124823018,,,,30740000000,
3. Đầu tư góp vốn vào đơn vị khác253,9600000000,,99630000000,49876625400,81275516260,,,255227056322,,,,,,1470000000,,,3750000000,,3000000000,,,1200000000,,,5000000000,2000000000,,,19891470000,,83719600,,1972000000,,,3000000000,7302706060,20000000,,174000000,,16000000000,
4. Dự phòng đầu tư tài chính dài hạn254,,,-30033126692,-17201167792,-535571628,,,-27320745802,-4280000000,,,,,,,,,,-3000000000,,,,,,,-860218,,,-8277569851,,,,,,,,-4523738287,-35000066439,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,278200000,,,,,,,,140000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,598840606,29100274623,46635369367,33725501397,58923329879,5406695587,563062989,129600417490,74872730,10625552670,39984060654,2408899,,6334819532,658080075,,1708645396,8868321986,81137556806,40821781800,5139658501,1304772158,3206031058,54554351708,348584855,236499511,65577996460,,39598946,1210818731843,18185469778,95771105,4451729090,608201267,160744443047,41602399087,16024749633,5823522895,32360079774,1727874643,10609893987,,1148546789
1. Chi phí trả trước dài hạn261,72228313,25026466627,46635369367,32214865237,2155730062,2636220642,563062989,129600417490,74872730,10625552670,39984060654,2408899,,6334819532,658080075,,1708645396,8868321986,80486556806,40821781800,5139658501,1304772158,3206031058,99344153,348584855,236499511,65408164472,,39598946,679819831368,18185469778,95771105,4451729090,608201267,97741620066,12775596312,16024749633,5590976072,32360079774,1264316589,10609893987,,1148546789
2. Tài sản thuế thu nhập hoãn lại262,526612293,4073807996,,1510636160,,2770474945,,,,,,,,,,,,,651000000,,,,,,,,169831988,,,428334861848,,,,,63002822981,,,232546823,,463558054,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,42000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28826802775,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,56725599817,,,,,,,,,,,,,,,,,,,54455007555,,,,,,102664038627,,,,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,78930971650,1196612481770,3070186012207,4616642288955,6083725943978,1396468412748,100653008231,6116540524913,163144017615,97274457575,1185692747897,28667467797,102953615523,198666115446,245670935700,291380329078,182878756770,67109638422,2355418090042,2615833202335,267990628230,310264174859,71900522730,1379122279279,154259405880,48365740655,81806321252,195125015315,1329205232491,27899960446330,2686673183715,127607786831,317695500958,54656813338,1186219315309,1035364080730,325973317039,657533060135,503755172939,275268215851,729133392493,168301796550,243819829622
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,157768516868,450418765040,1407227747069,4126710245541,4940781331785,459504526410,11657412292,5138300957827,299794719015,136444025334,882548930261,1631340127,152837213700,108265146842,160686873044,408614392264,26214621882,83937739008,1312390523519,2046653729535,46612685130,45048024469,37494249270,89474601574,19199588211,2419701947,12376564611,76827041726,1097356305189,16572133669028,381489560745,74419639149,40982223894,29947791648,847881106004,390346950861,195740139820,878206499205,172891994188,60539040394,469833513428,5333421195,72121325194
I. Nợ ngắn hạn310,135795428890,418159819306,795197734173,3436552705995,3438757156071,451098988008,11657412292,4685143487553,298230623015,136444025334,878316861535,1631340127,152837213700,108265146842,135610568449,408614392264,26214621882,83765253570,368150523519,1901088267605,27844370502,33648024469,31606713135,87508802297,19199588211,1609701947,11527404670,76557041726,420016903189,14600189597321,377611942836,68967208032,40982223894,29947791648,707938736653,390346950861,195740139820,816626463274,172891994188,60539040394,467170027589,4969052795,72121325194
1. Phải trả người bán ngắn hạn311,2845239538,91718218506,31173883726,729872570544,895495318035,208700968604,337827333,1499571198824,33997731069,15223120708,170696020509,318587725,87749171848,11496755444,16304476395,67425663855,14950346686,24189555651,165321541,807888212380,661451660,9515436302,9576840375,7731023614,13429415746,116826800,2907946642,12913283262,125441294218,2314639691398,164836148894,28182997058,16025364090,8889911315,175072068330,43395909702,61236136393,158039330531,77961655955,26043962845,67752067413,3015039820,21582720661
