Mã CK,SLS,SMA,SMB,SMC,SMN,SMT,SNC,SNZ,SP2,SPB,SPC,SPD,SPH,SPM,SPV,SQC,SRA,SRB,SRC,SRF,SSC,SSG,SSH,SSM,ST8,STC,STG,STH,STK,STP,STS,STT,STW,SVC,SVD,SVG,SVH,SVI,SVN,SVT,SWC,SZB,SZC
V. Đầu tư tài chính dài hạn250,11600000000,,975860000,217729225291,3329000000,,,853010698941,1250000000,,,21987177440,,2754000000,1116230738,556973303041,618155149180,40367145517,508505488913,6906786362,99000000000,,2403265015095,,44100000000,490000000,606195211847,20020700000,13800000000,24750000000,,80016000,67064000000,448075603755,38000000000,,,,169436816609,158824482652,585522833538,40000000000,52818125000
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,3349764000,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",9600000000,,975860000,114644689356,3329000000,,,697103368846,4000000000,,,18365570000,,,,648950000000,390113178538,38670982092,505000000000,5300000000,99000000000,,443137443614,,,,604566087208,,,24750000000,,,12064000000,386734480609,,,,,,139074660000,584709708899,,
3. Đầu tư góp vốn vào đơn vị khác253,,,,157147500000,,,,219948164350,,1075000000,,2121607440,,2754000000,1116230738,65800000000,228231000000,16800000000,8444062358,1556717362,,,1960127571481,,,490000000,1629124639,20020700000,13800000000,2775000000,,80016000,,60717579924,38000000000,,,,169459500000,19749822652,813124639,40000000000,52818125000
4. Dự phòng đầu tư tài chính dài hạn254,,,,-60062964065,,,,-84040834255,-2750000000,-1075000000,,,,,,-157776696959,-189029358,-15103836575,-4938573445,,-3349764000,,,,,,,,,-2775000000,,,,-376456778,,,,,-22683391,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,2000000000,,,6000000000,,,,20000000000,,,,1500000000,,,,,,,,50069000,,,,,44100000000,,,,,,,,55000000000,1000000000,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,,1101599862,60399011214,225982064510,9401888116,456275077,3834362006,1048648059753,13059323505,5178645204,26389902855,1031004448,6421210188,3117294241,66084733936,9567851540,1183932995,,3123495835,47427901796,5791736035,,546674629,440432598,353853222,9265956128,61120841587,804812757,128586034641,3802202129,,419395242,198832766,366673816961,3347831533,9922523912,,126142953897,,320177573,5463595912,474420471590,82100673788
1. Chi phí trả trước dài hạn261,,1101599862,58415111189,222929854088,9401888116,456275077,3834362006,964031115642,13059323505,5028101679,14257443360,1031004448,21771461,2565095656,65498745292,9567851540,1183932995,,3123495835,30508210493,2417061729,,546674629,440432598,353853222,9265956128,33490320019,804812757,125692890034,3802202129,,419395242,198832766,174676697236,3347831533,9922523912,,123415442228,,320177573,3929773324,471379780846,82100673788
2. Tài sản thuế thu nhập hoãn lại262,,,1983900025,3052210422,,,,84616944111,,150543525,12132459495,,6399438727,552198585,585988644,,,,,16919691303,3374674306,,,,,,14193896010,,2893144607,,,,,26910885804,,,,2727511669,,,1533822588,3040690744,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,13436625558,,,,,,,165086233921,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,1695681028342,430043577887,1039781691012,4778182548265,101311380636,117648440441,151036407940,21104200132970,605142561306,911899093847,451368838600,410829138592,100592355484,1008845782073,402187933698,627545009392,738470284767,52828190932,1208939314207,1595208699753,526658057501,122501338544,14394873021527,118933298672,517745418123,214531804078,3052183340336,213854503130,3811243831937,176253474258,216156011550,21348283135,307259567099,8961749070732,353948658440,391061284552,507583453467,1353630561655,233511234648,236666931810,2166375673195,1578076421190,8225800130275
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,140926756200,189614583722,440395002631,3968338535252,21609262402,48288402149,53801485353,10194363922794,486497965636,674825143380,328597688110,278643500803,42197705129,205091135638,223066392070,26401316722,74389025958,14495311600,633884449885,1161449437951,143630658708,11616365753,7875318647513,54773903490,210689274543,75924527356,652348496098,14673139130,2103888828129,35134261289,26002572186,50246103164,34401469093,6591661344545,94219605139,87353609486,285303644016,481308620485,8834668573,1307458017,268064235964,899460371384,5120249064490
I. Nợ ngắn hạn310,140926756200,32524583722,421489797506,3709283937976,21609262402,41909367437,53801485353,3877260752630,473831475154,377649585240,321919254312,272247788111,42197705129,187091135638,198432816910,1387575079,72094049769,14495311600,482034437507,1084152450891,143630658708,11616365753,4533098892863,54773903490,207086996396,75924527356,526500411542,14587639130,1311165536034,35134261289,25402572186,48471338626,33503279723,4030332568737,85982404288,68168404269,89205059984,475162207285,8834668573,1307458017,193985248749,186629042973,1911546002942
1. Phải trả người bán ngắn hạn311,43128581053,92896604,38562283453,1420521537782,13355313327,8730081039,2806382975,589157407351,2375938276,80882082094,165291362742,4631888694,644593295,25860944547,47800215269,857576932,25994106206,525041400,148253168523,412363945501,3853410559,135085326,485004491187,14906093363,23026999286,30804214949,127521300017,1436899117,377654321523,15379797897,667718569,1837159271,3884842409,444524576353,6389893880,5101672611,22748946164,282078075172,1985522845,,71256631072,52347932160,180047064173
