Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,220000000,,,,,,,,,,,,,,,,,,,,,,144245178350,,1480000000
6. Phải thu dài hạn khác216,50000000,10810504525,,97115488107,177413046717,193714729102,28567933637,,,1650000000,,12897200000,127218942920,5348008,936010924,,,,74336786560,,812717000,7871209551,7348273000,434783710,,2853190059,2278710360,75133667,,152220072,2055901699,,1392138914,8795350000,107858493,2381574681,27162592313,36440426781,,,6246856657,79174207496,,40000000,,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,-9085768058,,,,,,,,,,,,,,,,,,,,-2164071800,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,33007962954,1823490132726,,3587779562584,12062018494455,2001923766,1025002575740,288720073100,40282455389,331913511983,12975349528,205196903,3099059727,56909762,395643112341,32607382096,8619060967,750449750,1050857608402,28810069708,20043945231,834696664961,604575139157,3451568841989,,15094515321,82939904714,117821844952,125999758003,61002891252,10258087230,2811018275202,315690951523,179245484735,39160230981,72137748241,8141581627,13961348221477,801665919888,1975134013610,293145285013,763160070,741866522454,1501199759115,199669045782,8891693179
1. Tài sản cố định hữu hình221,8740862637,1823490132726,,3525960023388,12060172207254,2001923766,767327869072,288031137156,36337063183,331819664744,12975349528,205196903,3099059727,56909762,386078602199,32166682096,8619060967,750449750,1003289008402,28810069708,15517104594,834696664961,603528503836,3434424189917,,15094515321,82939904714,115382440189,125999758003,55545741252,10012531257,2811018275202,231899880145,123894092617,34097313682,68441462563,327536109,13890331971058,801623523459,1974311715179,174016757053,462303313,738466522454,1501199759115,199669045782,8891693179
- Nguyên giá222,49204622058,3588888899447,2316256677,13956342462787,19816215604424,56185538820,1626973749975,1315336400191,50051320726,733515683670,20081114822,56248486430,8906188048,35892447185,925938398690,126567699350,15377198132,7576268291,1485177980549,145975570138,70696839811,2215164073667,1614895498190,9380758826546,30900000,76338993240,244114864434,472621615423,189381458049,82237341231,75196972764,21207353794524,1120801452254,210870979575,86326424750,295509906916,3407940118,22462780188998,1492313065917,3029810443661,577478370323,17593403791,1396647245101,1819065307571,280936419889,42362834777
- Giá trị hao mòn lũy kế 223,-40463759421,-1765398766721,-2316256677,-10430382439399,-7756043397170,-54183615054,-859645880903,-1027305263035,-13714257543,-401696018926,-7105765294,-56043289527,-5807128321,-35835537423,-539859796491,-94401017254,-6758137165,-6825818541,-481888972147,-117165500430,-55179735217,-1380467408706,-1011366994354,-5946334636629,-30900000,-61244477919,-161174959720,-357239175234,-63381700046,-26691599979,-65184441507,-18396335519322,-888901572109,-86976886958,-52229111068,-227068444353,-3080404009,-8572448217940,-690689542458,-1055498728482,-403461613270,-17131100478,-658180722647,-317865548456,-81267374107,-33471141598
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439404763,,,,,,52879344446,,,,,,,56336070407,,,,,
- Nguyên giá225,,,,,,,,,,,,,,,,,,,,,,,,,,,,3415166667,,,,,,58030608270,,,,,,,67409423358,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,-975761904,,,,,,-5151263824,,,,,,,-11073352951,,,,,
