STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
2004,DXTC,CTCP Đất Xanh Miền Trung,,Khác,0
2005,EAD,CTCP Thủy điện Điện lực Đắk Lắk,Dịch vụ tiện ích,OTC,2877800
2006,EBA,CTCP Điện Bắc Nà,Dịch vụ tiện ích,OTC,15500000
2007,ECHC,CTCP Encapital Holdings,,Khác,0
2008,ECOC,CTCP Đầu tư Nước sạch và Môi trường Eco&More,,Khác,0
2009,ECPC,CTCP Tập đoàn Ecopark,,Khác,0
2010,Eden,CTCP Ê Đen,,OTC,0
2011,EDIC,CTCP Đầu tư và Phát triển Năng lượng Trung Nam,,Khác,0
2012,EDL-Gen,Công ty Phát Điện Lào,,Lào,1226216765
2013,EDOC,Công ty TNHH ENDO Việt Nam,,Khác,0
2014,EDX,CTCP Tập đoàn EDX,,OTC,20612000
2015,EGSC,CTCP Đầu tư và Phát triển Eagle Side,,Khác,0
2016,EHTC,Công ty TNHH Đầu tư Bất động sản Du lịch Hoàng Trường,,Khác,0
2017,EIGC,CTCP Tập đoàn Hạ tầng Giáo dục,,Khác,0
2018,EIPC,Công ty TNHH Đầu tư Phát triển Khu công nghiệp EIP,,Khác,0
2019,ELINCO,CTCP Điện tử Tin học Hóa chất,,OTC,0
2020,EMC,CTCP Cơ điện Thủ Đức,Tư liệu sản xuất,OTC,15297333
2021,ENOC,CTCP Năng Lượng Đại Dương,,Khác,0
2022,ENTC,CTCP Đầu tư Du lịch Eurowindow Nha Trang,,Khác,0
2023,ES1C,CTCP Ea Súp 1,,Khác,0
2024,ES2C,CTCP Ea Súp 2,,Khác,0
2025,ES3C,CTCP Ea Súp 3,,Khác,0
2026,ES5C,CTCP Ea Súp 5,,Khác,0
2027,ETCC,CTCP Cáp và Thiết bị Viễn Thông,,OTC,0
2028,EUEC,CTCP Xử lý rác thải và Năng lượng EU,,Khác,0
2029,Eurowindow,CTCP Cửa sổ Nhựa Châu Âu,,OTC,76500000
2030,EVN,Tập đoàn Điện lực Việt Nam,,Khác,0
2031,EWHC,CTCP Eurowindow Holding,,Khác,0
2032,Eximland,CTCP Bất động sản Exim,,OTC,0
2033,EYvn,Công ty TNHH Ernst & Young Việt Nam,,Khác,0
2034,F88,CTCP Đầu tư F88,,OTC,0
2035,F88C,CTCP Kinh doanh F88,,Khác,0
2036,Falcon,CTCP Vận tải Dầu khí Việt Nam,,OTC,0
2037,FBT,CTCP Xuất nhập khẩu Lâm Thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá",OTC,15000000
2038,FDG,CTCP Docimexco,Nguyên vật liệu,OTC,13200000
2039,FDLC,CTCP Ngoại thương và Phát triển Đầu tư Địa ốc Châu Lục,,Khác,0
2040,FDT,CTCP FIDITOUR,Dịch vụ tiêu dùng,OTC,3054500
2041,FHDC,CTCP Flamingo Holding Group,,Khác,0
2042,FHH,CTCP Đầu tư Kinh doanh Phát triển Bất Động Sản FLCHOMES,,OTC,0
2043,FIS,CTCP Hệ thống Thông tin FPT,,OTC,44662295
2044,FNFC,CTCP Fuji Nutri Food,,Khác,0
2045,Foodinco,Tổng Công ty cổ phần Đầu tư và Xuất nhập khẩu Foodinco,,OTC,0
2046,Formach,CTCP Formach,,OTC,0
2047,FPC,CTCP Full Power,Phát triển và quản lý bất động sản,OTC,13106292
2048,FPTC,CTCP Đô thị FPT Đà Nẵng,,Khác,0
2049,FPTTrading,CTCP Thương mại FPT,,OTC,30000000
2050,FreeLand,CTCP Free Land,,Khác,0
2051,FritHue,CTCP Frit Huế,,OTC,0
2052,FSPC,Công Ty TNHH Dịch vụ Du lịch Cáp treo Fansipan Sa Pa,,Khác,0
2053,FSS,CTCP Giải pháp Phần mềm Tài chính,,OTC,0
2054,FTV,CTCP Công nghiệp Ngũ kim Fortress Việt Nam,,OTC,0
2055,Fullhouse,Công ty TNHH Nhà nước MTV Đầu tư và Du lịch Huế,,Khác,0
2056,GachThaiBinh,CTCP Gạch ốp lát Thái Bình,,OTC,0
2057,GAIC,Công ty TNHH Tư vấn Đầu tư Gia An,,Khác,0
2058,GANC,CTCP Tư vấn Gia Ân,,Khác,0
2059,GANGTHEPLAOCAI,CTCP Đầu tư Gang thép Lào Cai - Vimico,,OTC,0
2060,GAnPhuoc,Công ty TNHH May thêu giày An Phước,,Khác,0
2061,GaoXKTN,Nhà máy Gạo Xuất khẩu Tây Ninh,,Khác,0
